trial,cars,stall,tick,score
1,50,12,2,76.0
1,50,17,3,66.0
1,50,9,4,82.0
1,50,9,5,82.0
1,50,14,6,72.0
1,50,19,7,62.0
1,50,23,8,54.0
1,50,24,9,52.0
1,50,17,10,66.0
1,50,19,11,62.0
1,50,12,12,76.0
1,50,18,13,64.0
1,50,18,14,64.0
1,50,19,15,62.0
1,50,21,16,58.0
1,50,17,17,66.0
1,50,15,18,70.0
1,50,20,19,60.0
1,50,16,20,68.0
1,50,20,21,60.0
1,50,20,22,60.0
1,50,23,23,54.0
1,50,19,24,62.0
1,50,18,25,64.0
1,50,19,26,62.0
1,50,21,27,58.0
1,50,18,28,64.0
1,50,20,29,60.0
1,50,19,30,62.0
1,50,22,31,56.0
1,50,10,32,80.0
1,50,16,33,68.0
1,50,16,34,68.0
1,50,22,35,56.0
1,50,22,36,56.0
1,50,21,37,58.0
1,50,17,38,66.0
1,50,17,39,66.0
1,50,17,40,66.0
1,50,19,41,62.0
1,50,14,42,72.0
1,50,18,43,64.0
1,50,21,44,58.0
1,50,22,45,56.0
1,50,17,46,66.0
1,50,22,47,56.0
1,50,12,48,76.0
1,50,18,49,64.0
1,50,17,50,66.0
1,50,20,51,60.0
1,50,21,52,58.0
1,50,24,53,52.0
1,50,14,54,72.0
1,50,18,55,64.0
1,50,11,56,78.0
1,50,11,57,78.0
1,50,13,58,74.0
1,50,23,59,54.0
1,50,22,60,56.0
1,50,25,61,50.0
1,50,18,62,64.0
1,50,22,63,56.0
1,50,22,64,56.0
1,50,19,65,62.0
1,50,16,66,68.0
1,50,18,67,64.0
1,50,13,68,74.0
1,50,20,69,60.0
1,50,19,70,62.0
1,50,22,71,56.0
1,50,15,72,70.0
1,50,19,73,62.0
1,50,19,74,62.0
1,50,22,75,56.0
1,50,20,76,60.0
1,50,24,77,52.0
1,50,20,78,60.0
1,50,20,79,60.0
1,50,14,80,72.0
1,50,17,81,66.0
1,50,11,82,78.0
1,50,15,83,70.0
1,50,11,84,78.0
1,50,15,85,70.0
1,50,19,86,62.0
1,50,24,87,52.0
1,50,18,88,64.0
1,50,24,89,52.0
1,50,20,90,60.0
1,50,23,91,54.0
1,50,15,92,70.0
1,50,18,93,64.0
1,50,17,94,66.0
1,50,14,95,72.0
1,50,17,96,66.0
1,50,18,97,64.0
1,50,8,98,84.0
1,50,16,99,68.0
1,50,11,100,78.0
1,50,17,101,66.0
1,50,20,102,60.0
1,50,23,103,54.0
1,50,18,104,64.0
1,50,21,105,58.0
1,50,13,106,74.0
1,50,14,107,72.0
1,50,10,108,80.0
1,50,14,109,72.0
1,50,15,110,70.0
1,50,21,111,58.0
1,50,16,112,68.0
1,50,15,113,70.0
1,50,17,114,66.0
1,50,23,115,54.0
1,50,16,116,68.0
1,50,22,117,56.0
1,50,13,118,74.0
1,50,18,119,64.0
1,50,15,120,70.0
1,50,24,121,52.0
1,50,20,122,60.0
1,50,25,123,50.0
1,50,18,124,64.0
1,50,23,125,54.0
1,50,14,126,72.0
1,50,16,127,68.0
1,50,18,128,64.0
1,50,23,129,54.0
1,50,18,130,64.0
1,50,23,131,54.0
1,50,15,132,70.0
1,50,20,133,60.0
1,50,18,134,64.0
1,50,19,135,62.0
1,50,8,136,84.0
1,50,13,137,74.0
1,50,14,138,72.0
1,50,16,139,68.0
1,50,15,140,70.0
1,50,20,141,60.0
1,50,14,142,72.0
1,50,21,143,58.0
1,50,19,144,62.0
1,50,22,145,56.0
1,50,20,146,60.0
1,50,19,147,62.0
1,50,15,148,70.0
1,50,16,149,68.0
1,50,17,150,66.0
1,50,30,151,40.0
1,50,19,152,62.0
1,50,23,153,54.0
1,50,15,154,70.0
1,50,16,155,68.0
1,50,16,156,68.0
1,50,18,157,64.0
1,50,22,158,56.0
1,50,26,159,48.0
1,50,18,160,64.0
1,50,23,161,54.0
1,50,13,162,74.0
1,50,16,163,68.0
1,50,18,164,64.0
1,50,19,165,62.0
1,50,17,166,66.0
1,50,19,167,62.0
1,50,15,168,70.0
1,50,16,169,68.0
1,50,13,170,74.0
1,50,18,171,64.0
1,50,17,172,66.0
1,50,16,173,68.0
1,50,20,174,60.0
1,50,23,175,54.0
1,50,12,176,76.0
1,50,15,177,70.0
1,50,15,178,70.0
1,50,20,179,60.0
1,50,15,180,70.0
1,50,19,181,62.0
1,50,23,182,54.0
1,50,28,183,44.0
1,50,19,184,62.0
1,50,22,185,56.0
1,50,16,186,68.0
1,50,14,187,72.0
1,50,17,188,66.0
1,50,16,189,68.0
1,50,20,190,60.0
1,50,23,191,54.0
1,50,18,192,64.0
1,50,14,193,72.0
1,50,15,194,70.0
1,50,17,195,66.0
1,50,17,196,66.0
1,50,20,197,60.0
1,50,17,198,66.0
1,50,19,199,62.0
1,50,21,200,58.0
1,50,24,201,52.0
1,50,20,202,60.0
1,50,24,203,52.0
1,50,17,204,66.0
1,50,19,205,62.0
1,50,10,206,80.0
1,50,15,207,70.0
1,50,15,208,70.0
1,50,21,209,58.0
1,50,18,210,64.0
1,50,22,211,56.0
1,50,17,212,66.0
1,50,21,213,58.0
1,50,18,214,64.0
1,50,17,215,66.0
1,50,16,216,68.0
1,50,17,217,66.0
1,50,15,218,70.0
1,50,20,219,60.0
1,50,12,220,76.0
1,50,16,221,68.0
1,50,17,222,66.0
1,50,21,223,58.0
1,50,12,224,76.0
1,50,15,225,70.0
1,50,14,226,72.0
1,50,11,227,78.0
1,50,14,228,72.0
1,50,15,229,70.0
1,50,15,230,70.0
1,50,24,231,52.0
1,50,14,232,72.0
1,50,21,233,58.0
1,50,13,234,74.0
1,50,15,235,70.0
1,50,17,236,66.0
1,50,21,237,58.0
1,50,12,238,76.0
1,50,18,239,64.0
1,50,13,240,74.0
1,50,13,241,74.0
1,50,12,242,76.0
1,50,19,243,62.0
1,50,15,244,70.0
1,50,17,245,66.0
1,50,16,246,68.0
1,50,18,247,64.0
1,50,23,248,54.0
1,50,26,249,48.0
1,50,11,250,78.0
