trial,cars,stall,tick,score
1,50,13,2,87.0
1,50,18,3,79.34
1,50,11,4,79.0
1,50,11,5,78.8
1,50,11,6,78.66
1,50,19,7,76.28
1,50,16,8,75.24
1,50,18,9,74.0
1,50,17,10,73.2
1,50,18,11,72.36
1,50,7,12,73.5
1,50,12,13,73.7
1,50,13,14,73.72
1,50,18,15,73.06
1,50,12,16,73.24
1,50,16,17,72.94
1,50,16,18,72.66
1,50,21,19,71.9
1,50,13,20,72.0
1,50,19,21,71.52
1,50,16,22,71.36
1,50,23,23,70.6
1,50,14,24,70.66
1,50,13,25,70.8
1,50,17,26,70.62
1,50,19,27,70.3
1,50,19,28,70.0
1,50,22,29,69.52
1,50,12,30,69.74
1,50,14,31,69.8
1,50,16,32,69.74
1,50,22,33,69.34
1,50,21,34,69.0
1,50,25,35,68.46
1,50,19,36,68.28
1,50,25,37,67.78
1,50,17,38,67.74
1,50,16,39,67.74
1,50,11,40,68.0
1,50,17,41,67.96
1,50,16,42,67.96
1,50,21,43,67.72
1,50,17,44,67.68
1,50,19,45,67.56
1,50,17,46,67.52
1,50,19,47,67.4
1,50,11,48,67.62
1,50,19,49,67.52
1,50,17,50,67.48
1,50,18,51,67.42
1,50,12,52,67.58
1,50,21,53,67.4
1,50,16,54,67.4
1,50,16,55,67.42
1,50,8,56,67.72
1,50,12,57,67.86
1,50,10,58,68.06
1,50,11,59,68.24
1,50,13,60,68.34
1,50,21,61,68.16
1,50,20,62,68.04
1,50,22,63,67.84
1,50,16,64,67.84
1,50,17,65,67.82
1,50,17,66,67.78
1,50,21,67,67.64
1,50,19,68,67.56
1,50,17,69,67.54
1,50,8,70,67.78
1,50,15,71,67.8
1,50,8,72,68.02
1,50,15,73,68.06
1,50,16,74,68.06
1,50,22,75,67.9
1,50,21,76,67.76
1,50,28,77,67.46
1,50,15,78,67.48
1,50,17,79,67.46
1,50,8,80,67.68
1,50,14,81,67.72
1,50,18,82,67.68
1,50,22,83,67.54
1,50,19,84,67.48
1,50,19,85,67.42
1,50,13,86,67.48
1,50,18,87,67.44
1,50,15,88,67.48
1,50,16,89,67.48
1,50,14,90,67.54
1,50,21,91,67.42
1,50,10,92,67.56
1,50,14,93,67.62
1,50,14,94,67.66
1,50,14,95,67.7
1,50,10,96,67.84
1,50,16,97,67.84
1,50,12,98,67.92
1,50,17,99,67.9
1,50,19,100,67.84
1,50,20,101,67.76
1,50,18,102,67.72
1,50,19,103,67.66
1,50,16,104,67.68
1,50,22,105,67.56
1,50,11,106,67.66
1,50,15,107,67.68
1,50,16,108,67.68
1,50,18,109,67.66
1,50,16,110,67.66
1,50,18,111,67.62
1,50,13,112,67.68
1,50,23,113,67.56
1,50,16,114,67.56
1,50,17,115,67.54
1,50,19,116,67.5
1,50,21,117,67.42
1,50,12,118,67.5
1,50,15,119,67.52
1,50,15,120,67.54
1,50,15,121,67.56
1,50,16,122,67.56
1,50,19,123,67.52
1,50,13,124,67.56
1,50,17,125,67.56
1,50,15,126,67.58
1,50,19,127,67.52
1,50,16,128,67.54
1,50,16,129,67.54
1,50,13,130,67.58
1,50,16,131,67.58
1,50,12,132,67.66
1,50,22,133,67.56
1,50,10,134,67.66
1,50,15,135,67.68
1,50,7,136,67.8
1,50,15,137,67.82
1,50,12,138,67.88
1,50,15,139,67.9
1,50,12,140,67.96
1,50,11,141,68.02
1,50,15,142,68.04
1,50,19,143,68.0
1,50,10,144,68.08
1,50,19,145,68.04
1,50,13,146,68.08
1,50,18,147,68.06
1,50,15,148,68.06
1,50,18,149,68.04
1,50,9,150,68.14
1,50,17,151,68.12
1,50,12,152,68.18
1,50,16,153,68.16
1,50,9,154,68.26
1,50,19,155,68.22
1,50,12,156,68.26
1,50,15,157,68.28
1,50,18,158,68.26
1,50,20,159,68.2
1,50,18,160,68.18
1,50,18,161,68.14
1,50,19,162,68.12
1,50,21,163,68.04
1,50,17,164,68.04
1,50,20,165,67.98
1,50,6,166,68.1
1,50,11,167,68.16
1,50,12,168,68.22
1,50,20,169,68.16
1,50,20,170,68.12
1,50,24,171,68.02
1,50,13,172,68.06
1,50,18,173,68.04
1,50,16,174,68.04
1,50,23,175,67.96
1,50,16,176,67.96
1,50,17,177,67.94
1,50,15,178,67.96
1,50,21,179,67.9
1,50,8,180,67.98
1,50,15,181,68.0
1,50,14,182,68.02
1,50,18,183,68.0
1,50,11,184,68.06
1,50,14,185,68.08
1,50,12,186,68.12
1,50,15,187,68.12
1,50,15,188,68.14
1,50,20,189,68.1
1,50,16,190,68.1
1,50,20,191,68.06
1,50,13,192,68.08
1,50,16,193,68.08
1,50,16,194,68.08
1,50,18,195,68.06
1,50,12,196,68.1
1,50,17,197,68.1
1,50,13,198,68.12
1,50,17,199,68.12
1,50,11,200,68.16
1,50,17,201,68.14
1,50,17,202,68.14
1,50,14,203,68.16
1,50,13,204,68.18
1,50,23,205,68.12
1,50,13,206,68.14
1,50,23,207,68.08
1,50,15,208,68.08
1,50,19,209,68.06
1,50,10,210,68.12
1,50,16,211,68.12
1,50,12,212,68.16
1,50,21,213,68.1
1,50,11,214,68.14
1,50,15,215,68.16
1,50,10,216,68.22
1,50,12,217,68.24
1,50,10,218,68.3
1,50,15,219,68.32
1,50,10,220,68.36
1,50,11,221,68.4
1,50,17,222,68.4
1,50,20,223,68.36
1,50,10,224,68.42
1,50,13,225,68.44
1,50,9,226,68.5
1,50,16,227,68.5
1,50,16,228,68.5
1,50,19,229,68.46
1,50,11,230,68.5
1,50,8,231,68.58
1,50,9,232,68.62
1,50,15,233,68.64
1,50,13,234,68.66
1,50,14,235,68.68
1,50,12,236,68.7
1,50,16,237,68.7
1,50,10,238,68.74
1,50,16,239,68.74
1,50,16,240,68.74
1,50,22,241,68.68
1,50,18,242,68.66
1,50,16,243,68.66
1,50,10,244,68.72
1,50,16,245,68.72
1,50,7,246,68.78
1,50,12,247,68.8
1,50,11,248,68.84
1,50,18,249,68.82
1,50,14,250,68.84
1,50,17,251,68.82
1,50,11,252,68.86
1,50,14,253,68.88
1,50,17,254,68.86
1,50,19,255,68.84
1,50,14,256,68.86
1,50,18,257,68.84
1,50,10,258,68.88
1,50,12,259,68.9
1,50,12,260,68.94
1,50,21,261,68.88
1,50,16,262,68.88
1,50,17,263,68.88
1,50,16,264,68.88
1,50,18,265,68.86
