trial,cars,stall,tick,score
1,50,9,2,91.0
1,50,16,3,83.34
1,50,7,4,84.0
1,50,12,5,82.4
1,50,16,6,80.0
1,50,24,7,76.0
1,50,24,8,73.0
1,50,24,9,70.66
1,50,23,10,69.0
1,50,29,11,66.54
1,50,28,12,64.66
1,50,35,13,62.0
1,50,13,14,62.86
1,50,14,15,63.46
1,50,16,16,63.74
1,50,25,17,62.94
1,50,18,18,63.0
1,50,16,19,63.26
1,50,8,20,64.3
1,50,12,21,64.86
1,50,18,22,64.82
1,50,17,23,64.86
1,50,12,24,65.34
1,50,12,25,65.76
1,50,16,26,65.84
1,50,16,27,65.92
1,50,12,28,66.28
1,50,13,29,66.56
1,50,15,30,66.66
1,50,19,31,66.52
1,50,3,32,67.38
1,50,11,33,67.7
1,50,11,34,68.0
1,50,16,35,68.0
1,50,15,36,68.06
1,50,15,37,68.1
1,50,13,38,68.26
1,50,16,39,68.26
1,50,16,40,68.24
1,50,22,41,67.96
1,50,10,42,68.24
1,50,12,43,68.42
1,50,6,44,68.86
1,50,14,45,68.94
1,50,16,46,68.92
1,50,21,47,68.68
1,50,8,48,69.0
1,50,13,49,69.1
1,50,3,50,69.6
1,50,12,51,69.72
1,50,13,52,69.8
1,50,17,53,69.74
1,50,12,54,69.86
1,50,17,55,69.78
1,50,13,56,69.86
1,50,15,57,69.86
1,50,10,58,70.04
1,50,16,59,70.0
1,50,17,60,69.94
1,50,20,61,69.78
1,50,9,62,69.96
1,50,11,63,70.1
1,50,8,64,70.32
1,50,13,65,70.36
1,50,9,66,70.54
1,50,12,67,70.62
1,50,14,68,70.64
1,50,16,69,70.6
1,50,14,70,70.62
1,50,20,71,70.48
1,50,15,72,70.48
1,50,19,73,70.36
1,50,14,74,70.38
1,50,16,75,70.34
1,50,10,76,70.48
1,50,15,77,70.46
1,50,12,78,70.54
1,50,16,79,70.5
1,50,14,80,70.52
1,50,17,81,70.46
1,50,7,82,70.66
1,50,13,83,70.7
1,50,12,84,70.76
1,50,18,85,70.68
1,50,11,86,70.76
1,50,19,87,70.66
1,50,8,88,70.82
1,50,13,89,70.86
1,50,13,90,70.88
1,50,20,91,70.76
1,50,12,92,70.82
1,50,15,93,70.82
1,50,17,94,70.76
1,50,20,95,70.66
1,50,15,96,70.64
1,50,16,97,70.62
1,50,11,98,70.7
1,50,11,99,70.76
1,50,11,100,70.84
