trial,cars,stall,tick,score
1,32,9,2,85.94
1,32,11,3,79.16
1,32,6,4,79.69
1,32,8,5,78.75
1,32,5,6,79.69
1,32,11,7,77.69
1,32,5,8,78.5
1,32,10,9,77.44
1,32,11,10,76.25
1,32,13,11,74.72
1,32,8,12,74.75
1,32,11,13,74.03
1,32,7,14,74.34
1,32,12,15,73.53
1,32,6,16,74.03
1,32,10,17,73.72
1,32,7,18,73.97
1,32,12,19,73.34
1,32,7,20,73.59
1,32,8,21,73.66
1,32,5,22,74.16
1,32,12,23,73.66
1,32,8,24,73.69
1,32,9,25,73.63
1,32,10,26,73.44
1,32,13,27,72.91
1,32,8,28,73.0
1,32,12,29,72.63
1,32,7,30,72.81
1,32,10,31,72.69
1,32,7,32,72.84
1,32,10,33,72.72
1,32,10,34,72.63
1,32,8,35,72.69
1,32,8,36,72.75
1,32,13,37,72.38
1,32,13,38,72.03
1,32,16,39,71.47
1,32,8,40,71.56
1,32,9,41,71.56
1,32,7,42,71.72
1,32,12,43,71.5
1,32,8,44,71.59
1,32,9,45,71.59
1,32,5,46,71.88
1,32,10,47,71.81
1,32,9,48,71.81
1,32,10,49,71.75
1,32,5,50,72.0
1,32,9,51,72.0
1,32,7,52,72.13
1,32,12,53,71.94
1,32,10,54,71.88
1,32,9,55,71.88
1,32,8,56,71.94
1,32,10,57,71.88
1,32,8,58,71.94
1,32,13,59,71.72
1,32,5,60,71.94
1,32,5,61,72.13
1,32,4,62,72.38
1,32,8,63,72.41
1,32,8,64,72.47
1,32,14,65,72.22
1,32,8,66,72.25
1,32,9,67,72.25
1,32,5,68,72.44
1,32,10,69,72.38
1,32,6,70,72.5
1,32,6,71,72.63
1,32,6,72,72.75
1,32,11,73,72.66
1,32,11,74,72.56
1,32,10,75,72.5
1,32,7,76,72.56
1,32,6,77,72.69
1,32,8,78,72.72
1,32,11,79,72.63
1,32,7,80,72.69
1,32,9,81,72.69
1,32,8,82,72.72
1,32,9,83,72.72
1,32,7,84,72.78
1,32,9,85,72.75
1,32,8,86,72.78
1,32,11,87,72.69
1,32,10,88,72.66
1,32,14,89,72.47
1,32,5,90,72.59
1,32,7,91,72.66
1,32,6,92,72.75
1,32,12,93,72.66
1,32,6,94,72.75
1,32,9,95,72.72
1,32,14,96,72.56
1,32,16,97,72.31
1,32,8,98,72.34
1,32,10,99,72.31
1,32,6,100,72.41
1,32,8,101,72.44
1,32,4,102,72.59
1,32,6,103,72.66
1,32,4,104,72.81
1,32,9,105,72.81
1,32,10,106,72.75
1,32,10,107,72.72
1,32,5,108,72.84
1,32,11,109,72.75
1,32,9,110,72.75
1,32,8,111,72.78
1,32,6,112,72.84
1,32,7,113,72.91
1,32,3,114,73.06
1,32,8,115,73.06
1,32,7,116,73.13
1,32,11,117,73.06
1,32,6,118,73.13
1,32,8,119,73.13
1,32,8,120,73.16
1,32,8,121,73.16
1,32,8,122,73.19
1,32,10,123,73.16
1,32,6,124,73.22
1,32,12,125,73.13
1,32,9,126,73.13
1,32,12,127,73.03
1,32,5,128,73.13
1,32,10,129,73.09
1,32,7,130,73.13
1,32,9,131,73.13
1,32,10,132,73.09
1,32,10,133,73.06
1,32,8,134,73.06
1,32,7,135,73.09
1,32,8,136,73.13
1,32,11,137,73.06
1,32,9,138,73.06
1,32,15,139,72.91
1,32,7,140,72.94
1,32,8,141,72.97
1,32,8,142,72.97
1,32,10,143,72.94
1,32,9,144,72.94
1,32,14,145,72.81
1,32,6,146,72.88
1,32,10,147,72.84
1,32,4,148,72.94
1,32,6,149,73.0
1,32,8,150,73.03
1,32,13,151,72.94
1,32,9,152,72.94
1,32,11,153,72.88
1,32,9,154,72.88
1,32,12,155,72.81
1,32,8,156,72.81
1,32,14,157,72.72
1,32,10,158,72.69
1,32,11,159,72.66
1,32,6,160,72.69
1,32,6,161,72.75
1,32,7,162,72.78
1,32,9,163,72.78
1,32,5,164,72.84
1,32,6,165,72.91
1,32,5,166,72.97
1,32,7,167,73.0
1,32,7,168,73.03
1,32,12,169,72.97
1,32,8,170,72.97
1,32,12,171,72.91
1,32,12,172,72.84
1,32,13,173,72.78
1,32,5,174,72.84
1,32,7,175,72.88
1,32,7,176,72.91
1,32,10,177,72.88
1,32,2,178,73.0
1,32,3,179,73.09
1,32,6,180,73.16
1,32,8,181,73.16
1,32,8,182,73.16
1,32,8,183,73.19
1,32,8,184,73.19
1,32,10,185,73.16
1,32,5,186,73.22
1,32,11,187,73.19
1,32,6,188,73.22
1,32,9,189,73.22
1,32,7,190,73.25
1,32,12,191,73.19
1,32,5,192,73.25
1,32,8,193,73.25
1,32,7,194,73.28
1,32,9,195,73.28
1,32,9,196,73.25
1,32,12,197,73.22
1,32,8,198,73.22
1,32,10,199,73.19
1,32,7,200,73.22
1,32,11,201,73.19
1,32,7,202,73.22
1,32,6,203,73.25
1,32,7,204,73.28
1,32,10,205,73.25
1,32,9,206,73.25
1,32,11,207,73.22
1,32,5,208,73.25
1,32,6,209,73.28
1,32,5,210,73.34
1,32,10,211,73.31
1,32,8,212,73.34
1,32,9,213,73.31
1,32,6,214,73.38
1,32,9,215,73.34
1,32,7,216,73.38
1,32,7,217,73.41
1,32,4,218,73.47
1,32,7,219,73.5
1,32,6,220,73.53
1,32,11,221,73.5
1,32,7,222,73.5
1,32,7,223,73.53
1,32,8,224,73.53
1,32,10,225,73.5
1,32,4,226,73.56
1,32,9,227,73.56
1,32,9,228,73.56
1,32,10,229,73.53
1,32,7,230,73.56
1,32,8,231,73.56
1,32,7,232,73.59
1,32,7,233,73.59
1,32,7,234,73.63
1,32,6,235,73.66
1,32,4,236,73.72
1,32,8,237,73.72
1,32,3,238,73.78
1,32,6,239,73.81
1,32,8,240,73.81
1,32,9,241,73.81
1,32,10,242,73.81
1,32,14,243,73.72
1,32,7,244,73.75
1,32,9,245,73.75
1,32,5,246,73.78
1,32,8,247,73.78
1,32,8,248,73.78
1,32,12,249,73.75
1,32,7,250,73.75
1,32,13,251,73.72
1,32,6,252,73.75
1,32,9,253,73.72
1,32,5,254,73.78
1,32,9,255,73.75
1,32,7,256,73.78
1,32,6,257,73.81
1,32,6,258,73.84
1,32,8,259,73.84
1,32,3,260,73.91
1,32,5,261,73.94
1,32,5,262,74.0
1,32,10,263,73.97
1,32,8,264,73.97
1,32,14,265,73.91
1,32,10,266,73.88
1,32,9,267,73.88
1,32,5,268,73.91
1,32,5,269,73.97
1,32,8,270,73.97
1,32,13,271,73.91
1,32,8,272,73.91
1,32,9,273,73.91
1,32,6,274,73.94
1,32,10,275,73.91
1,32,4,276,73.97
1,32,7,277,73.97
1,32,8,278,73.97
1,32,9,279,73.97
1,32,6,280,74.0
1,32,8,281,74.0
1,32,6,282,74.03
1,32,11,283,74.0
1,32,8,284,74.0
1,32,9,285,74.0
1,32,6,286,74.03
1,32,8,287,74.03
1,32,3,288,74.06
1,32,3,289,74.13
1,32,8,290,74.13
1,32,13,291,74.09
1,32,4,292,74.13
1,32,6,293,74.16
1,32,6,294,74.19
1,32,11,295,74.16
1,32,8,296,74.16
1,32,9,297,74.16
1,32,5,298,74.19
1,32,10,299,74.16
1,32,4,300,74.22
1,32,7,301,74.22
1,32,8,302,74.22
1,32,10,303,74.22
1,32,7,304,74.22
1,32,9,305,74.22
1,32,6,306,74.22
1,32,9,307,74.22
1,32,3,308,74.28
1,32,5,309,74.31
1,32,3,310,74.38
1,32,3,311,74.41
1,32,4,312,74.47
